TimeStamp,Value,HapticFeedback
2023-12-27 15:21:19,105,False
2023-12-27 15:21:20,106,False
2023-12-27 15:21:21,108,False
2023-12-27 15:21:22,110,False
2023-12-27 15:21:23,113,False
2023-12-27 15:21:24,115,True
2023-12-27 15:21:25,116,False
2023-12-27 15:21:29,115,False
2023-12-27 15:21:30,114,False
2023-12-27 15:21:31,113,False
2023-12-27 15:21:33,112,False
2023-12-27 15:21:35,113,False
2023-12-27 15:21:36,114,False
2023-12-27 15:21:37,117,True
2023-12-27 15:21:38,119,False
2023-12-27 15:21:39,121,False
2023-12-27 15:21:41,120,False
2023-12-27 15:21:42,119,False
2023-12-27 15:21:44,118,False
2023-12-27 15:21:46,0,False
2023-12-27 15:21:48,118,True
2023-12-27 15:21:49,119,False
2023-12-27 15:21:50,118,False
2023-12-27 15:21:51,119,False
2023-12-27 15:21:52,120,False
2023-12-27 15:21:53,119,False
2023-12-27 15:21:54,118,False
2023-12-27 15:21:55,120,False
2023-12-27 15:21:57,119,False
2023-12-27 15:21:59,120,True
2023-12-27 15:22:00,119,False
2023-12-27 15:22:01,118,False
2023-12-27 15:22:02,119,False
2023-12-27 15:22:03,120,False
2023-12-27 15:22:06,119,False
2023-12-27 15:22:07,118,False
2023-12-27 15:22:08,117,False
2023-12-27 15:22:09,118,True
2023-12-27 15:22:11,120,False
2023-12-27 15:22:12,121,False
2023-12-27 15:22:15,120,False
2023-12-27 15:22:16,119,False
2023-12-27 15:22:17,117,False
2023-12-27 15:22:20,115,True
2023-12-27 15:22:21,114,False
2023-12-27 15:22:22,0,False
2023-12-27 15:22:23,114,False
2023-12-27 15:22:27,115,False
2023-12-27 15:22:28,117,False
2023-12-27 15:22:28,116,False
2023-12-27 15:22:30,116,True
2023-12-27 15:22:31,117,False
2023-12-27 15:22:32,118,False
2023-12-27 15:22:34,121,False
2023-12-27 15:22:35,119,False
2023-12-27 15:22:36,118,False
2023-12-27 15:22:37,115,False
2023-12-27 15:22:38,110,False
2023-12-27 15:22:40,112,False
2023-12-27 15:22:41,110,False
2023-12-27 15:22:42,111,False
2023-12-27 15:22:43,110,False
2023-12-27 15:22:44,108,False
2023-12-27 15:22:45,107,False
2023-12-27 15:22:46,109,False
2023-12-27 15:22:47,108,False
2023-12-27 15:22:48,107,False
2023-12-27 15:22:49,104,False
2023-12-27 15:22:50,106,False
2023-12-27 15:22:51,104,False
2023-12-27 15:22:53,106,False
2023-12-27 15:22:54,109,False
2023-12-27 15:22:55,110,False
2023-12-27 15:22:56,109,False
2023-12-27 15:22:59,108,False
2023-12-27 15:23:01,105,False
2023-12-27 15:23:02,103,False
2023-12-27 15:23:03,100,False
2023-12-27 15:23:04,98,False
2023-12-27 15:23:05,99,False
2023-12-27 15:23:06,98,False
2023-12-27 15:23:07,103,False
2023-12-27 15:23:08,102,False
2023-12-27 15:23:09,101,False
2023-12-27 15:23:11,102,False
2023-12-27 15:23:14,101,False
2023-12-27 15:23:15,100,False
2023-12-27 15:23:16,98,False
2023-12-27 15:23:17,95,False
2023-12-27 15:23:18,96,False
2023-12-27 15:23:19,97,False
2023-12-27 15:23:20,98,False
2023-12-27 15:23:25,96,False
2023-12-27 15:23:26,98,False
2023-12-27 15:23:27,101,False
2023-12-27 15:23:28,102,False
2023-12-27 15:23:29,101,False
2023-12-27 15:23:30,102,False
2023-12-27 15:23:31,105,False
2023-12-27 15:23:32,107,False
2023-12-27 15:23:33,108,False
2023-12-27 15:23:36,107,False
2023-12-27 15:23:38,109,False
2023-12-27 15:23:39,110,False
2023-12-27 15:23:41,112,False
2023-12-27 15:23:43,113,False
2023-12-27 15:23:44,114,False
2023-12-27 15:23:45,113,False
2023-12-27 15:23:46,114,False
2023-12-27 15:23:49,113,False
2023-12-27 15:23:49,114,False
2023-12-27 15:23:50,113,False
2023-12-27 15:23:52,112,False
2023-12-27 15:23:54,113,False
2023-12-27 15:23:55,112,False
2023-12-27 15:23:58,0,False
2023-12-27 15:23:58,113,False
2023-12-27 15:23:59,112,False
2023-12-27 15:24:00,111,False
2023-12-27 15:24:07,112,False
2023-12-27 15:24:07,113,False
2023-12-27 15:24:08,114,False
2023-12-27 15:24:12,115,True
2023-12-27 15:24:12,114,False
2023-12-27 15:24:13,113,False
2023-12-27 15:24:14,112,False
2023-12-27 15:24:16,113,False
2023-12-27 15:24:19,112,False
2023-12-27 15:24:20,113,False
2023-12-27 15:24:28,114,False
2023-12-27 15:24:28,115,True
2023-12-27 15:24:29,0,False
2023-12-27 15:24:30,115,False
2023-12-27 15:24:31,114,False
2023-12-27 15:24:32,113,False
2023-12-27 15:24:33,112,False
2023-12-27 15:24:34,111,False
2023-12-27 15:24:35,110,False
2023-12-27 15:24:36,109,False
2023-12-27 15:24:37,108,False
2023-12-27 15:24:42,107,False
2023-12-27 15:24:44,110,False
2023-12-27 15:24:44,111,False
2023-12-27 15:24:45,110,False
2023-12-27 15:24:46,109,False
2023-12-27 15:24:47,108,False
2023-12-27 15:24:48,107,False
2023-12-27 15:24:49,106,False
2023-12-27 15:24:52,105,False
2023-12-27 15:24:52,103,False
2023-12-27 15:24:53,104,False
2023-12-27 15:24:53,102,False
2023-12-27 15:24:56,101,False
2023-12-27 15:24:56,103,False
2023-12-27 15:24:57,104,False
2023-12-27 15:24:58,105,False
2023-12-27 15:24:59,104,False
2023-12-27 15:25:00,105,False
2023-12-27 15:25:01,0,False
2023-12-27 15:25:04,105,False
2023-12-27 15:25:04,107,False
2023-12-27 15:25:05,106,False
2023-12-27 15:25:07,107,False
2023-12-27 15:25:08,108,False
2023-12-27 15:25:09,109,False
2023-12-27 15:25:10,110,False
2023-12-27 15:25:11,111,False
2023-12-27 15:25:12,110,False
2023-12-27 15:25:13,111,False
2023-12-27 15:25:16,110,False
2023-12-27 15:25:17,111,False
2023-12-27 15:25:18,113,False
2023-12-27 15:25:19,115,True
2023-12-27 15:25:20,116,False
2023-12-27 15:25:21,115,False
2023-12-27 15:25:28,113,False
2023-12-27 15:25:29,112,False
2023-12-27 15:25:32,115,True
2023-12-27 15:25:33,114,False
2023-12-27 15:25:37,113,False
2023-12-27 15:25:38,112,False
2023-12-27 15:25:40,114,False
2023-12-27 15:25:41,115,False
2023-12-27 15:25:42,116,True
2023-12-27 15:25:44,115,False
2023-12-27 15:25:45,116,False
2023-12-27 15:25:46,114,False
2023-12-27 15:25:47,113,False
2023-12-27 15:25:50,114,False
2023-12-27 15:25:52,113,False
