TimeStamp,Value,HapticFeedback
2023-12-21 23:05:32,112,False
2023-12-21 23:05:33,110,False
2023-12-21 23:05:34,111,False
2023-12-21 23:05:36,112,False
2023-12-21 23:05:37,111,False
2023-12-21 23:05:40,112,False
2023-12-21 23:05:41,113,False
2023-12-21 23:05:42,114,False
2023-12-21 23:05:43,113,False
2023-12-21 23:05:44,112,False
2023-12-21 23:05:46,110,False
2023-12-21 23:05:47,112,False
2023-12-21 23:05:49,115,True
2023-12-21 23:05:49,113,False
2023-12-21 23:05:50,116,False
2023-12-21 23:05:51,117,False
2023-12-21 23:05:52,119,False
2023-12-21 23:05:55,118,False
2023-12-21 23:05:56,117,False
2023-12-21 23:06:00,118,True
2023-12-21 23:06:02,117,False
2023-12-21 23:06:03,118,False
2023-12-21 23:06:04,117,False
2023-12-21 23:06:05,116,False
2023-12-21 23:06:06,114,False
2023-12-21 23:06:08,115,False
2023-12-21 23:06:09,114,False
2023-12-21 23:06:16,115,True
2023-12-21 23:06:17,116,False
2023-12-21 23:06:20,115,False
2023-12-21 23:06:21,114,False
2023-12-21 23:06:22,113,False
2023-12-21 23:06:23,112,False
2023-12-21 23:06:24,111,False
2023-12-21 23:06:26,110,False
2023-12-21 23:06:27,111,False
2023-12-21 23:06:28,112,False
2023-12-21 23:06:30,113,False
2023-12-21 23:06:31,112,False
2023-12-21 23:06:32,110,False
2023-12-21 23:06:33,109,False
2023-12-21 23:06:34,110,False
2023-12-21 23:06:36,108,False
2023-12-21 23:06:37,107,False
2023-12-21 23:06:39,106,False
2023-12-21 23:06:40,105,False
2023-12-21 23:06:42,106,False
2023-12-21 23:06:43,107,False
2023-12-21 23:06:44,106,False
2023-12-21 23:06:45,107,False
2023-12-21 23:06:47,108,False
2023-12-21 23:06:48,109,False
2023-12-21 23:06:49,108,False
2023-12-21 23:06:51,106,False
2023-12-21 23:06:52,105,False
2023-12-21 23:06:53,107,False
2023-12-21 23:06:54,109,False
2023-12-21 23:06:55,111,False
2023-12-21 23:06:56,112,False
2023-12-21 23:06:58,110,False
2023-12-21 23:07:01,111,False
2023-12-21 23:07:02,110,False
2023-12-21 23:07:05,111,False
2023-12-21 23:07:06,110,False
2023-12-21 23:07:10,111,False
2023-12-21 23:07:11,110,False
2023-12-21 23:07:12,111,False
2023-12-21 23:07:13,109,False
2023-12-21 23:07:14,106,False
2023-12-21 23:07:15,105,False
2023-12-21 23:07:16,104,False
2023-12-21 23:07:17,105,False
2023-12-21 23:07:18,104,False
2023-12-21 23:07:19,103,False
2023-12-21 23:07:20,102,False
2023-12-21 23:07:22,103,False
2023-12-21 23:07:23,102,False
2023-12-21 23:07:24,105,False
2023-12-21 23:07:25,106,False
2023-12-21 23:07:26,107,False
2023-12-21 23:07:27,108,False
2023-12-21 23:07:28,109,False
2023-12-21 23:07:34,108,False
2023-12-21 23:07:35,109,False
2023-12-21 23:07:36,110,False
2023-12-21 23:07:38,109,False
2023-12-21 23:07:39,108,False
2023-12-21 23:07:40,107,False
2023-12-21 23:07:41,108,False
2023-12-21 23:07:45,110,False
2023-12-21 23:07:46,109,False
2023-12-21 23:07:48,108,False
2023-12-21 23:07:49,108,False
2023-12-21 23:07:49,109,False
2023-12-21 23:07:51,106,False
2023-12-21 23:07:59,107,False
2023-12-21 23:08:00,106,False
2023-12-21 23:08:01,107,False
2023-12-21 23:08:03,105,False
2023-12-21 23:08:05,107,False
2023-12-21 23:08:06,108,False
2023-12-21 23:08:11,106,False
2023-12-21 23:08:13,107,False
2023-12-21 23:08:15,106,False
2023-12-21 23:08:16,105,False
2023-12-21 23:08:17,106,False
2023-12-21 23:08:18,108,False
2023-12-21 23:08:19,110,False
2023-12-21 23:08:20,111,False
2023-12-21 23:08:21,109,False
2023-12-21 23:08:23,107,False
2023-12-21 23:08:24,106,False
2023-12-21 23:08:25,105,False
2023-12-21 23:08:26,103,False
2023-12-21 23:08:27,100,False
2023-12-21 23:08:28,98,False
2023-12-21 23:08:29,99,False
2023-12-21 23:08:30,98,False
2023-12-21 23:08:31,97,False
2023-12-21 23:08:35,96,False
2023-12-21 23:08:37,95,False
2023-12-21 23:08:38,96,False
2023-12-21 23:08:39,97,False
2023-12-21 23:08:40,99,False
2023-12-21 23:08:41,97,False
2023-12-21 23:08:44,98,False
2023-12-21 23:08:45,99,False
2023-12-21 23:08:47,98,False
2023-12-21 23:08:48,97,False
2023-12-21 23:08:49,98,False
