TimeStamp,Value,HapticFeedback
2023-12-21 22:31:56,115,True
2023-12-21 22:31:58,116,False
2023-12-21 22:31:59,117,False
2023-12-21 22:32:01,116,True
2023-12-21 22:32:02,114,False
2023-12-21 22:32:04,112,False
2023-12-21 22:32:05,111,False
2023-12-21 22:32:06,112,False
2023-12-21 22:32:08,110,False
2023-12-21 22:32:09,109,False
2023-12-21 22:32:11,108,False
2023-12-21 22:32:12,106,False
2023-12-21 22:32:15,107,False
2023-12-21 22:32:18,106,False
2023-12-21 22:32:19,103,False
2023-12-21 22:32:20,100,False
2023-12-21 22:32:21,97,False
2023-12-21 22:32:22,98,False
2023-12-21 22:32:23,101,False
2023-12-21 22:32:24,100,False
2023-12-21 22:32:25,104,False
2023-12-21 22:32:26,106,False
2023-12-21 22:32:27,105,False
2023-12-21 22:32:28,107,False
2023-12-21 22:32:29,110,False
2023-12-21 22:32:31,111,False
2023-12-21 22:32:32,112,False
2023-12-21 22:32:33,113,False
2023-12-21 22:32:34,115,True
2023-12-21 22:32:37,114,False
2023-12-21 22:32:38,115,True
2023-12-21 22:32:40,116,False
2023-12-21 22:32:41,115,False
2023-12-21 22:32:43,114,False
2023-12-21 22:32:45,115,True
2023-12-21 22:32:47,114,False
2023-12-21 22:32:50,113,False
2023-12-21 22:32:51,112,False
2023-12-21 22:32:54,111,False
2023-12-21 22:32:55,110,False
2023-12-21 22:33:00,109,False
2023-12-21 22:33:01,110,False
2023-12-21 22:33:04,109,False
2023-12-21 22:33:06,108,False
2023-12-21 22:33:09,107,False
2023-12-21 22:33:13,109,False
2023-12-21 22:33:13,108,False
2023-12-21 22:33:14,109,False
2023-12-21 22:33:14,108,False
2023-12-21 22:33:16,108,False
2023-12-21 22:33:20,107,False
2023-12-21 22:33:22,106,False
2023-12-21 22:33:24,105,False
2023-12-21 22:33:27,106,False
2023-12-21 22:33:28,104,False
2023-12-21 22:33:29,102,False
2023-12-21 22:33:30,100,False
2023-12-21 22:33:34,102,False
2023-12-21 22:33:35,103,False
2023-12-21 22:33:36,105,False
2023-12-21 22:33:38,104,False
2023-12-21 22:33:39,105,False
2023-12-21 22:33:40,107,False
2023-12-21 22:33:42,108,False
2023-12-21 22:33:45,109,False
2023-12-21 22:33:47,110,False
2023-12-21 22:33:50,109,False
2023-12-21 22:33:51,108,False
2023-12-21 22:33:53,107,False
2023-12-21 22:33:54,106,False
2023-12-21 22:33:55,109,False
2023-12-21 22:33:56,110,False
2023-12-21 22:33:57,109,False
2023-12-21 22:33:58,111,False
2023-12-21 22:33:59,112,False
2023-12-21 22:34:00,111,False
2023-12-21 22:34:01,110,False
2023-12-21 22:34:02,109,False
2023-12-21 22:34:05,111,False
2023-12-21 22:34:07,110,False
2023-12-21 22:34:10,112,False
2023-12-21 22:34:11,114,False
2023-12-21 22:34:13,113,False
2023-12-21 22:34:15,114,False
2023-12-21 22:34:16,115,True
2023-12-21 22:34:17,114,False
2023-12-21 22:34:18,116,False
2023-12-21 22:34:19,115,False
2023-12-21 22:34:22,114,False
2023-12-21 22:34:25,112,False
2023-12-21 22:34:26,110,False
2023-12-21 22:34:28,108,False
2023-12-21 22:34:29,109,False
2023-12-21 22:34:30,110,False
2023-12-21 22:34:31,109,False
2023-12-21 22:34:34,108,False
2023-12-21 22:34:35,109,False
2023-12-21 22:34:37,108,False
2023-12-21 22:34:38,107,False
2023-12-21 22:34:41,108,False
2023-12-21 22:34:42,107,False
2023-12-21 22:34:43,109,False
2023-12-21 22:34:44,107,False
2023-12-21 22:34:45,106,False
2023-12-21 22:34:46,105,False
2023-12-21 22:34:47,104,False
2023-12-21 22:34:48,105,False
2023-12-21 22:34:50,106,False
2023-12-21 22:34:51,105,False
2023-12-21 22:34:52,104,False
2023-12-21 22:34:57,103,False
2023-12-21 22:34:58,104,False
2023-12-21 22:35:00,105,False
2023-12-21 22:35:03,0,False
2023-12-21 22:35:05,104,False
2023-12-21 22:35:06,105,False
2023-12-21 22:35:07,104,False
2023-12-21 22:35:08,103,False
2023-12-21 22:35:09,102,False
2023-12-21 22:35:11,100,False
2023-12-21 22:35:12,99,False
2023-12-21 22:35:13,101,False
2023-12-21 22:35:14,102,False
2023-12-21 22:35:15,103,False
2023-12-21 22:35:17,104,False
2023-12-21 22:35:18,106,False
2023-12-21 22:35:22,107,False
2023-12-21 22:35:24,106,False
2023-12-21 22:35:27,107,False
2023-12-21 22:35:39,106,False
2023-12-21 22:35:43,105,False
2023-12-21 22:35:45,103,False
2023-12-21 22:35:47,102,False
2023-12-21 22:35:48,101,False
